City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,christchurch,-43.5333,172.6333,17.45,70,20,4.63,NZ,1714871385
274,la paz,-16.5,-68.15,11.43,64,20,2.06,BO,1714870756
275,anadyr,64.75,177.4833,-0.72,63,0,7.6,RU,1714871176
276,chimoio,-19.1164,33.4833,16.54,92,100,0.64,MZ,1714871385
277,luwingu,-10.2621,29.9271,13.76,87,100,1.78,ZM,1714871386
278,mahina,-17.5065,-149.489,30.42,70,40,2.57,PF,1714871386
279,karratha,-20.7377,116.8463,26.74,23,0,5.08,AU,1714871386
280,xinyuan,37.3,99.0,3.67,38,90,1.41,CN,1714871386
281,sainte-rose,16.3324,-61.6979,28.02,78,0,2.57,GP,1714871328
282,muang phonsavan,19.45,103.2167,26.44,50,24,1.22,LA,1714871386
283,selfoss,63.9331,-20.9971,2.8,73,50,2.46,IS,1714871386
284,okha,53.5739,142.9478,2.92,56,100,2.68,RU,1714871386
285,as sulayyil,20.4607,45.5779,27.14,48,77,5.75,SA,1714871387
286,chadron,42.8294,-102.9999,16.82,32,0,5.66,US,1714871387
287,i-n-salah,27.1935,2.4607,27.28,10,0,8.23,DZ,1714871387
288,shreveport,32.5251,-93.7502,27.12,68,0,2.57,US,1714871277
289,melfi,40.9965,15.6514,8.05,90,3,2.86,IT,1714871239
290,ha giang,22.8333,104.9833,25.14,73,78,0.8,VN,1714871387
291,bikin,46.8161,134.26,19.95,41,100,4.36,RU,1714871387
292,rongelap,11.1635,166.8941,27.47,77,100,6.74,MH,1714871388
293,port hedland,-20.3167,118.5667,27.03,18,0,3.6,AU,1714871388
294,hun,29.1268,15.9477,19.22,39,0,2.95,LY,1714871388
295,egilsstadir,65.2653,-14.3948,9.22,95,99,2.09,IS,1714871388
296,roha,18.4333,73.1167,24.65,84,0,0.14,IN,1714871388
297,flin flon,54.7682,-101.865,7.6,53,100,2.56,CA,1714871388
298,tagta,41.6504,59.9164,14.24,79,98,6.51,TM,1714871360
